x,y,r,maturity,stress,nab1,t_birth,t_death
801,63,150,0,0,0,114.3,-114.3
516,142,150,1,0,0,103.8,135.1
112,457,150,1,0,0,131.0,136.6
855,39,150,1,0,0,136.8,137.6
286,360,150,1,0,0,162.2,169.7
15,251,150,1,0,0,168.2,175.0
930,88,150,1,0,0,126.9,176.0
222,288,150,1,0,0,122.9,176.5
448,-418,150,0,0,0,185.0,-185.2
963,41,150,1,0,0,185.8,187.4
258,-15,150,1,0,0,149.1,190.5
46,487,150,1,0,0,162.4,194.3
624,121,150,0,0,0,196.0,-196.1
699,-130,150,1,0,0,177.0,198.7
58,-233,150,1,0,0,166.3,200.4
536,-418,150,0,0,0,203.4,-203.5
665,-295,150,0,0,0,212.4,-212.5
671,133,150,0,0,0,219.1,-219.1
765,236,150,0,0,0,222.9,-222.9
573,88,150,0,0,0,225.5,-225.5
808,165,150,0,0,0,226.6,-226.6
178,226,150,1,0,0,216.8,242.3
146,-413,150,1,0,0,178.9,247.7
173,296,150,1,0,0,223.8,249.9
335,243,150,1,0,0,230.9,250.8
29,378,150,1,0,0,235.0,261.5
266,283,150,1,0,0,241.3,268.5
358,-351,150,1,0,0,250.2,278.6
235,158,150,1,0,0,254.9,280.7
247,39,150,1,0,0,244.1,283.2
245,-126,150,1,0,0,235.2,284.6
299,73,150,1,0,0,290.1,292.6
215,-85,150,1,0,0,292.0,298.5
34,280,150,1,0,0,274.0,316.3
364,357,150,1,0,0,316.6,318.5
180,-312,150,1,0,0,313.2,319.7
898,251,150,1,0,0,313.0,328.6
765,-117,150,0,0,0,342.4,-342.4
740,391,150,1,0,0,323.3,344.7
346,-47,150,1,0,0,327.2,350.3
738,-393,150,1,0,0,344.0,351.2
997,30,150,1,0,0,295.3,381.6
803,176,150,0,0,0,386.9,-386.9
607,-88,150,1,0,0,378.8,391.9
560,187,150,0,0,0,401.2,-401.3
97,427,150,1,0,0,397.0,404.6
551,-259,150,0,0,0,407.9,-407.9
613,332,150,0,0,0,409.6,-409.7
90,-189,150,1,0,0,313.1,410.7
267,-94,150,1,0,0,342.2,414.4
621,-188,150,0,0,0,425.0,-425.1
625,-192,150,0,0,0,431.1,-431.1
810,-349,150,1,0,0,409.5,432.1
864,312,150,1,0,0,431.4,435.3
48,240,150,1,0,0,392.7,436.6
554,-444,150,1,0,0,432.9,436.7
647,-475,150,1,0,0,419.9,445.9
218,-263,150,1,0,0,404.0,452.5
781,496,150,1,0,0,445.8,453.8
226,453,150,1,0,0,399.6,460.4
168,-88,150,1,0,0,372.6,469.2
880,-80,150,0,0,0,475.8,-475.8
736,-190,150,0,0,0,485.5,-485.6
718,490,150,1,0,0,486.8,489.7
693,-287,150,1,0,0,461.6,490.6
549,338,150,1,0,0,455.3,496.4
569,195,150,0,0,0,503.0,-503.0
509,-322,150,0,0,0,517.4,-517.4
388,-238,150,1,0,0,385.4,524.4
400,229,150,1,0,0,461.2,554.9
825,171,150,0,0,0,557.6,-557.7
767,-310,150,1,0,0,570.0,592.9
263,175,150,1,0,0,586.2,596.6
936,278,150,1,0,0,562.1,597.4
36,205,150,1,0,0,587.7,599.7
477,401,150,1,0,0,605.5,610.9
132,239,150,1,0,0,604.3,611.0
140,-121,150,1,0,0,624.2,628.4
334,324,150,1,0,0,606.3,633.3
57,-274,150,1,0,0,606.8,641.9
438,244,150,1,0,0,571.7,645.9
521,-121,150,1,0,0,644.7,647.7
917,-419,150,1,0,0,623.8,650.6
399,471,150,1,0,0,640.7,651.5
309,156,150,1,0,0,641.3,656.0
549,317,150,1,0,0,642.7,657.6
209,471,150,1,0,0,643.0,660.0
602,82,150,0,0,0,660.1,-660.2
403,38,150,1,0,0,618.7,671.7
718,-192,150,0,0,0,675.3,-675.4
3,-240,150,1,0,0,654.7,677.6
401,153,150,1,0,0,659.5,679.5
890,477,150,1,0,0,607.6,685.9
449,-137,150,1,0,0,662.1,686.0
596,273,150,0,0,0,686.9,-686.9
425,-65,150,1,0,0,632.1,688.5
435,-409,150,0,0,0,692.8,-692.9
483,345,150,1,0,0,700.6,706.2
555,-480,150,1,0,0,676.4,708.2
326,-416,150,1,0,0,706.2,709.4
252,285,150,1,0,0,622.0,709.5
619,19,150,1,0,0,702.5,712.4
84,-428,150,1,0,0,694.3,715.8
170,-59,150,1,0,0,570.1,719.8
481,-11,150,1,0,0,702.0,721.0
644,-23,150,1,0,0,646.4,721.8
495,365,150,1,0,0,638.2,723.0
553,277,150,1,0,0,704.9,723.3
892,-469,150,1,0,0,695.5,728.3
482,-314,150,0,0,0,738.5,-738.6
349,-453,150,1,0,0,720.8,738.8
510,84,150,1,0,0,742.0,744.2
287,-78,150,1,0,0,741.1,750.3
296,49,150,1,0,0,722.6,750.4
198,258,150,1,0,0,748.9,751.0
334,168,150,1,0,0,744.3,753.1
942,-306,150,1,0,0,735.3,753.1
760,440,150,1,0,0,749.9,753.6
429,468,150,1,0,0,698.3,757.1
57,484,150,1,0,0,748.4,762.2
292,-420,150,1,0,0,751.7,763.2
346,151,150,1,0,0,744.3,771.2
675,413,150,1,0,0,647.9,774.7
468,147,150,1,0,0,688.3,774.8
941,-391,150,1,0,0,727.7,776.4
21,-333,150,1,0,0,760.6,777.6
556,67,150,1,0,0,773.6,779.5
790,319,150,0,0,0,781.9,-782.1
795,136,150,0,0,0,787.3,-787.4
207,-208,150,1,0,0,737.2,791.6
151,-213,150,1,0,0,773.3,798.2
554,264,150,1,0,0,774.1,798.3
859,12,150,1,0,0,700.9,799.1
575,-12,150,1,0,0,810.3,811.7
117,-283,150,1,0,0,805.7,812.4
321,-74,150,1,0,0,776.8,814.0
463,361,150,1,0,0,773.3,814.2
976,499,150,1,0,0,690.8,821.5
411,-477,150,1,0,0,793.5,823.5
97,-71,150,1,0,0,773.4,826.4
183,260,150,1,0,0,803.4,827.4
243,490,150,1,0,0,829.0,832.2
320,-246,150,1,0,0,822.0,832.5
690,313,150,0,0,0,841.0,-841.0
917,-381,150,1,0,0,826.0,845.3
941,-225,150,0,0,0,857.8,-857.9
200,-168,150,1,0,0,849.2,858.2
1,-179,150,1,0,0,815.9,861.7
594,-390,150,0,0,0,868.4,-868.4
869,205,150,1,0,0,857.4,868.5
567,-191,150,0,0,0,871.1,-871.3
76,371,150,1,0,0,854.8,876.3
263,139,150,1,0,0,853.8,879.3
591,-481,150,1,0,0,875.9,886.1
314,76,150,1,0,0,808.1,886.1
310,237,150,1,0,0,895.9,898.5
783,252,150,0,0,0,899.2,-899.3
918,398,150,1,0,0,838.2,900.0
607,-110,150,1,0,0,866.8,902.5
879,-308,150,1,0,0,901.2,909.9
99,-72,150,1,0,0,887.4,914.0
519,276,150,1,0,0,892.6,916.4
873,439,150,1,0,0,896.5,922.0
562,-221,150,0,0,0,925.3,-925.3
740,96,150,0,0,0,927.3,-927.3
886,-5,150,1,0,0,914.7,928.6
628,-164,150,0,0,0,930.3,-930.3
706,-472,150,1,0,0,904.4,932.7
712,-372,150,1,0,0,942.0,942.7
906,351,150,1,0,0,939.6,943.5
320,-447,150,1,0,0,934.2,948.8
779,18,150,1,0,0,941.2,949.2
899,372,150,1,0,0,839.8,950.7
63,-443,150,1,0,0,950.4,954.5
330,382,150,1,0,0,954.0,956.0
24,319,150,1,0,0,944.3,957.3
598,-134,150,1,0,0,897.7,957.7
416,-373,150,0,0,0,961.9,-961.9
771,317,150,0,0,0,965.0,-965.1
928,9,150,1,0,0,951.2,968.8
999,39,150,1,0,0,962.8,969.0
