t,self_cells,foreign_antigens,B_cells,antibodies,Thelpers,danger_signals_and_ILs,bone_marrow_cells
0,0,0,0,0,0,0,0
2,464,0,0,0,0,0,0
4,487,0,0,0,0,0,0
6,503,0,0,0,0,0,0
8,526,0,0,0,0,0,0
10,548,0,0,0,0,0,0
12,571,0,0,0,0,0,0
14,603,0,0,0,0,0,0
16,632,0,0,0,0,0,0
18,656,0,0,0,0,0,0
20,690,0,0,0,0,0,0
22,728,0,0,0,0,0,0
24,761,0,0,0,0,0,0
26,802,0,0,0,0,0,0
28,856,0,0,0,0,0,0
30,896,0,0,0,0,0,0
32,942,0,0,0,0,0,0
34,992,0,0,0,0,0,0
36,1044,0,0,0,0,0,0
38,1096,0,0,0,0,0,0
40,1127,0,0,0,0,0,0
42,1191,0,0,0,0,0,0
44,1273,0,0,0,0,0,0
46,1334,0,0,0,0,0,0
48,1408,0,0,0,0,0,0
50,1478,0,0,0,0,0,0
52,1545,0,0,0,0,0,0
54,1616,0,0,0,0,0,0
56,1692,0,0,0,0,0,0
58,1787,0,0,0,0,0,0
60,1856,0,0,0,0,0,0
62,1931,0,0,0,0,0,0
64,2036,0,0,0,0,0,0
66,2125,0,0,0,0,0,0
68,2206,0,0,0,0,0,0
70,2310,0,0,0,0,0,0
72,2404,0,0,0,0,0,0
74,2508,0,0,0,0,0,0
76,2605,0,0,0,0,0,0
78,2728,0,0,0,0,0,0
80,2846,0,0,0,0,0,0
82,2957,0,0,0,0,0,0
84,3062,0,0,0,0,0,0
86,3178,0,0,0,0,0,0
88,3295,0,0,0,0,0,0
90,3407,0,0,0,0,0,0
92,3522,0,0,0,0,0,0
94,3642,0,0,0,0,0,0
96,3763,0,0,0,0,0,0
98,3897,0,0,0,0,0,0
100,4004,0,0,0,0,0,0
102,4104,0,0,0,0,0,5
104,4206,0,0,0,0,0,5
106,4308,0,1,0,0,0,5
108,4414,0,1,0,1,0,5
110,4517,0,1,0,1,0,5
112,4626,0,1,0,1,0,5
114,4713,0,1,0,2,0,5
116,4804,0,1,0,2,0,5
118,4884,0,1,0,1,0,5
120,4985,0,1,0,1,0,5
122,5066,0,1,0,1,0,5
124,5149,0,2,0,1,0,5
126,5223,0,2,0,1,0,5
128,5305,0,3,0,1,0,5
130,5375,0,3,0,1,0,5
132,5444,0,4,0,1,0,5
134,5526,0,4,0,1,0,5
136,5605,0,3,0,2,0,5
138,5674,0,3,0,2,0,5
140,5736,0,2,0,1,0,5
142,5807,0,2,0,1,0,5
144,5872,0,2,0,1,0,5
146,5937,0,2,0,1,0,5
148,6003,0,2,0,1,0,5
150,6054,0,3,0,2,0,5
152,6116,0,3,0,3,0,5
154,6165,0,3,0,4,0,5
156,6227,0,3,0,4,0,5
158,6276,0,3,0,4,0,5
160,6343,0,3,0,2,0,5
162,6385,0,3,0,3,0,5
164,6436,0,5,0,2,0,5
166,6484,0,5,0,4,0,5
168,6520,0,6,0,4,0,5
170,6560,0,7,0,4,0,5
172,6606,0,6,0,5,0,5
174,6648,0,6,0,5,0,5
176,6691,0,5,0,5,0,5
178,6740,0,4,0,7,0,5
180,6786,0,5,0,5,0,5
182,6823,0,5,0,6,0,5
184,6874,0,5,0,7,0,5
186,6915,0,5,0,6,0,5
188,6960,0,5,0,6,0,5
190,6988,0,5,0,6,0,5
192,7024,0,4,0,5,0,5
194,7068,0,4,0,5,0,5
196,7100,0,3,0,5,0,5
198,7133,0,3,0,5,0,5
200,7169,0,2,0,6,0,5
202,7205,0,1,0,6,0,5
204,7232,0,1,0,5,0,5
206,7267,0,1,0,4,0,5
208,7300,0,1,0,4,0,5
210,7333,0,1,0,2,0,5
212,7356,0,1,0,2,0,5
214,7385,0,1,0,4,0,5
216,7414,0,1,0,4,0,5
218,7434,0,2,0,5,0,5
220,7471,0,2,0,5,0,5
222,7508,0,2,0,4,0,5
224,7532,0,2,0,4,0,5
226,7560,0,4,0,4,0,5
228,7598,0,3,0,4,0,5
230,7628,0,3,0,4,0,5
232,7663,0,4,0,4,0,5
234,7697,0,4,0,4,0,5
236,7719,0,6,0,4,0,5
238,7748,0,6,0,4,0,5
240,7787,0,6,0,5,0,5
242,7824,0,7,0,5,0,5
244,7848,0,6,0,5,0,5
246,7879,0,7,0,5,0,5
248,7903,0,7,0,4,0,5
250,7928,0,6,0,5,0,5
252,7960,0,5,0,6,0,5
254,7992,0,5,0,6,0,5
256,8013,0,6,0,7,0,5
258,8038,0,6,0,7,0,5
260,8067,0,6,0,7,0,5
262,8094,0,5,0,7,0,5
264,8117,0,5,0,6,0,5
266,8149,0,5,0,5,0,5
268,8166,0,5,0,6,0,5
270,8201,0,4,0,6,0,5
272,8227,0,4,0,5,0,5
274,8254,0,4,0,6,0,5
276,8277,0,5,0,6,0,5
278,8306,0,5,0,5,0,5
280,8333,0,4,0,5,0,5
282,8353,0,3,0,6,0,5
284,8375,0,2,0,6,0,5
286,8395,0,1,0,6,0,5
288,8422,0,1,0,5,0,5
290,8450,0,1,0,5,0,5
292,8477,0,2,0,3,0,5
294,8493,0,2,0,2,0,5
296,8521,0,3,0,2,0,5
298,8554,0,3,0,3,0,5
300,8576,0,2,0,3,0,5
302,8597,0,2,0,3,0,5
304,8620,0,2,0,2,0,5
306,8637,0,2,0,1,0,5
308,8661,0,2,0,2,0,5
310,8681,0,2,0,2,0,5
312,8696,0,2,0,4,0,5
314,8719,0,5,0,4,0,5
316,8743,0,5,0,6,0,5
318,8769,0,5,0,4,0,5
320,8787,0,4,0,4,0,5
322,8808,0,3,0,4,0,5
324,8823,0,4,0,3,0,5
326,8838,0,4,0,5,0,5
328,8857,0,5,0,5,0,5
330,8879,0,4,0,5,0,5
332,8904,0,4,0,5,0,5
334,8934,0,4,0,5,0,5
336,8945,0,4,0,5,0,5
338,8962,0,4,0,5,0,5
340,8982,0,4,0,5,0,5
342,9001,0,4,0,5,0,5
344,9023,0,5,0,5,0,5
346,9050,0,5,0,4,0,5
348,9068,0,5,0,4,0,5
350,9089,0,5,0,6,0,5
352,9111,0,3,0,5,0,5
354,9128,0,3,0,4,0,5
356,9144,0,3,0,4,0,5
358,9165,0,3,0,4,0,5
360,9183,0,3,0,4,0,5
362,9202,0,3,0,3,0,5
364,9219,0,3,0,3,0,5
366,9232,0,3,0,3,0,5
368,9253,0,3,0,2,0,5
370,9271,0,3,0,5,0,5
372,9288,0,3,0,4,0,5
374,9301,0,4,0,4,0,5
376,9318,0,4,0,5,0,5
378,9337,0,4,0,4,0,5
380,9356,0,5,0,5,0,5
382,9372,0,5,0,5,0,5
384,9385,0,4,0,6,0,5
386,9404,0,5,0,6,0,5
388,9418,0,5,0,6,0,5
390,9439,0,5,0,6,0,5
392,9459,0,5,0,6,0,5
394,9475,0,5,0,6,0,5
396,9489,0,5,0,5,0,5
398,9512,0,6,0,4,0,5
400,9530,0,6,0,5,0,5
